Customer Id,Probability
"15,621,423",0.0000
"15,799,785",0.0000
"15,728,010",0.0000
"15,654,859",0.0000
"15,706,394",0.0000
"15,725,028",0.0000
"15,764,444",0.0000
"15,689,268",0.0000
"15,750,921",0.0000
"15,566,495",0.0000
"15,744,423",0.0000
"15,803,378",0.0000
"15,671,534",0.0000
"15,595,010",0.0000
"15,746,995",0.0000
"15,780,088",0.0000
"15,777,893",0.0000
"15,627,190",0.0000
"15,583,552",0.0000
"15,731,989",0.0000
"15,613,699",0.0000
"15,678,882",0.0000
"15,682,860",0.0000
"15,730,793",0.0000
"15,618,410",0.0000
"15,583,680",0.0000
"15,723,827",0.0000
"15,586,174",0.0000
"15,569,394",0.0000
"15,572,390",0.0000
"15,638,989",0.0000
"15,605,341",0.0000
"15,775,750",0.0000
"15,765,257",0.0000
"15,690,372",0.0000
"15,714,087",0.0000
"15,774,262",0.0000
"15,674,750",0.0000
"15,750,476",0.0000
"15,814,116",0.0000
"15,568,878",0.0000
"15,683,168",0.0000
"15,594,651",0.0000
"15,644,446",0.0000
"15,761,047",0.0000
"15,788,776",0.0000
"15,775,235",0.0000
"15,646,563",0.0000
"15,799,859",0.0000
"15,585,892",0.0000
"15,687,527",0.0000
"15,767,231",0.0000
"15,690,492",0.0000
"15,652,048",0.0000
"15,580,366",0.0000
"15,609,356",0.0000
"15,642,098",0.0000
"15,717,065",0.0000
"15,663,194",0.0000
"15,764,226",0.0000
"15,789,014",0.0000
"15,771,409",0.0000
"15,721,569",0.0000
"15,762,045",0.0000
"15,605,276",0.0000
"15,672,432",0.0000
"15,637,891",0.0000
"15,785,705",0.0000
"15,768,474",0.0000
"15,762,716",0.0000
"15,607,746",0.0000
"15,706,464",0.0000
"15,638,871",0.0000
"15,631,693",0.0000
"15,588,123",0.0000
"15,667,460",0.0000
"15,649,430",0.0000
"15,671,769",0.0000
"15,617,348",0.0000
"15,575,243",0.0000
"15,585,855",0.0000
"15,602,456",0.0000
"15,572,361",0.0000
"15,568,819",0.0000
"15,796,787",0.0000
"15,813,718",0.0000
"15,778,290",0.0000
"15,692,718",0.0000
"15,668,679",0.0000
"15,689,781",0.0000
"15,677,395",0.0000
"15,789,865",0.0000
"15,735,837",0.0000
"15,661,412",0.0000
"15,744,273",0.0000
"15,583,724",0.0000
"15,810,716",0.0000
"15,664,083",0.0000
"15,757,933",0.0000
"15,618,703",0.0000
"15,715,750",0.0000
"15,805,627",0.0000
"15,636,521",0.0000
"15,788,215",0.0000
"15,773,934",0.0000
"15,694,237",0.0000
"15,789,611",0.0000
"15,675,176",0.0000
"15,815,271",0.0000
"15,570,990",0.0000
"15,712,877",0.0000
"15,777,994",0.0000
"15,781,875",0.0000
"15,649,183",0.0000
"15,631,267",0.0000
"15,687,688",0.0000
"15,678,210",0.0000
"15,570,947",0.0000
"15,759,387",0.0000
